EV Peleng Init
EV Signal acquisition started

D12=84us   D13=160us  D14=324us  P=24.4deg   E=-16.2deg
D12=124us  D13=96us   D14=292us  P=39.4deg   E=8.0deg
D12=56us   D13=96us   D14=280us  P=18.7deg   E=-5.3deg
D12=44us   D13=-64us  D14=132us  P=31.3deg   E=54.8deg
D12=148us  D13=124us  D14=288us  P=46.5deg   E=3.2deg
D12=72us   D13=112us  D14=300us  P=22.5deg   E=-6.0deg
D12=204us  D13=104us  D14=300us  P=57.5deg   E=15.9deg
D12=-20us  D13=92us   D14=280us  P=-6.0deg   E=-16.9deg
D12=-52us  D13=-72us  D14=188us  P=-20.3deg  E=28.2deg
D12=-72us  D13=-176us D14=8us    P=-68.1deg  E=62.0deg
D12=176us  D13=120us  D14=256us  P=57.9deg   E=7.3deg
D12=68us   D13=116us  D14=304us  P=21.0deg   E=-7.7deg
D12=104us  D13=28us   D14=288us  P=33.8deg   E=25.0deg
D12=168us  D13=-4us   D14=76us   P=91.8deg   E=35.7deg
D12=216us  D13=60us   D14=200us  P=74.4deg   E=25.0deg
D12=184us  D13=112us  D14=144us  P=79.5deg   E=5.9deg
D12=172us  D13=148us  D14=244us  P=58.9deg   E=-2.2deg
D12=100us  D13=88us   D14=320us  P=29.4deg   E=7.5deg
D12=-144us D13=-96us  D14=64us   P=-58.2deg  E=9.0deg
/34
D12=104us  D13=124us  D14=284us  P=34.3deg   E=-5.0deg
D12=116us  D13=124us  D14=284us  P=38.0deg   E=-2.7deg
D12=120us  D13=128us  D14=276us  P=40.2deg   E=-3.7deg
D12=120us  D13=132us  D14=284us  P=39.2deg   E=-4.5deg
D12=116us  D13=128us  D14=272us  P=39.5deg   E=-4.8deg
D12=116us  D13=132us  D14=276us  P=39.0deg   E=-5.8deg
D12=120us  D13=128us  D14=284us  P=39.2deg   E=-3.2deg

D12=148us  D13=132us  D14=256us  P=51.0deg   E=-0.9deg
D12=160us  D13=124us  D14=224us  P=59.4deg   E=2.1deg
D12=-48us  D13=-76us  D14=228us  P=-16.2deg  E=28.7deg
D12=-96us  D13=-28us  D14=204us  P=-30.1deg  E=2.9deg
D12=-92us  D13=-28us  D14=212us  P=-28.5deg  E=4.0deg
D12=-92us  D13=-28us  D14=212us  P=-28.5deg  E=4.0deg
D12=-96us  D13=-24us  D14=200us  P=-30.5deg  E=1.4deg
/55
D12=124us  D13=64us   D14=192us  P=55.4deg   E=15.9deg
D12=132us  D13=76us   D14=192us  P=57.9deg   E=12.7deg
D12=136us  D13=80us   D14=196us  P=58.3deg   E=12.0deg
D12=132us  D13=76us   D14=192us  P=57.9deg   E=12.7deg
D12=116us  D13=60us   D14=180us  P=55.3deg   E=15.9deg
D12=112us  D13=60us   D14=176us  P=54.8deg   E=15.1deg
D12=104us  D13=48us   D14=160us  P=55.7deg   E=18.4deg
D12=64us   D13=108us  D14=292us  P=20.5deg   E=-6.8deg

D12=4us    D13=68us   D14=272us  P=1.3deg    E=-6.2deg
D12=4us    D13=68us   D14=268us  P=1.3deg    E=-6.6deg
/10
D12=-16us  D13=56us   D14=244us  P=-5.5deg   E=-8.2deg
D12=-36us  D13=44us   D14=244us  P=-11.8deg  E=-7.6deg
D12=-40us  D13=40us   D14=244us  P=-13.0deg  E=-6.9deg
D12=-36us  D13=40us   D14=244us  P=-11.8deg  E=-6.2deg
D12=-16us  D13=48us   D14=248us  P=-5.4deg   E=-5.0deg
D12=-20us  D13=48us   D14=256us  P=-6.5deg   E=-5.1deg
D12=-20us  D13=44us   D14=252us  P=-6.6deg   E=-4.0deg
D12=-24us  D13=44us   D14=252us  P=-7.9deg   E=-4.7deg
D12=-20us  D13=44us   D14=248us  P=-6.7deg   E=-4.3deg
//110
D12=-224us D13=-204us D14=-248us P=-111.8deg E=8.3deg
D12=-164us D13=-144us D14=-240us P=-122.3deg E=2.7deg
D12=-200us D13=-176us D14=-204us P=-108.9deg E=7.6deg
D12=-196us D13=-168us D14=-208us P=-110.2deg E=5.8deg
D12=-192us D13=-164us D14=-208us P=-111.0deg E=5.4deg
D12=-188us D13=-164us D14=-208us P=-111.7deg E=6.2deg
D12=-192us D13=-168us D14=-212us P=-111.7deg E=6.3deg
D12=-192us D13=-164us D14=-208us P=-111.0deg E=5.4deg
D12=-188us D13=-160us D14=-200us P=-110.3deg E=5.4deg
D12=-184us D13=-160us D14=-200us P=-111.1deg E=6.2deg
D12=188us  D13=144us  D14=0us    P=108.2deg  E=-11.2deg
//
D12=-36us  D13=36us   D14=108us  P=-23.5deg  E=-24.0deg
D12=-68us  D13=-204us D14=-300us P=-158.7deg E=32.7deg
D12=140us  D13=-60us  D14=-144us P=135.1deg  E=31.7deg
D12=120us  D13=-60us  D14=-152us P=139.3deg  E=30.6deg
D12=104us  D13=-76us  D14=-60us  P=125.3deg  E=46.3deg
D12=112us  D13=-80us  D14=4us    P=107.0deg  E=52.8deg
D12=112us  D13=-76us  D14=-176us P=143.7deg  E=31.6deg
D12=104us  D13=-64us  D14=-176us P=145.2deg  E=28.4deg
D12=124us  D13=-44us  D14=-156us P=139.1deg  E=26.2deg
D12=72us   D13=-92us  D14=-204us P=155.5deg  E=31.0deg
D12=132us  D13=-48us  D14=-164us P=138.9deg  E=26.7deg
D12=140us  D13=-40us  D14=-168us P=138.2deg  E=24.7deg
D12=100us  D13=-72us  D14=-188us P=147.4deg  E=28.9deg
D12=144us  D13=-40us  D14=-164us P=137.1deg  E=25.2deg
D12=88us   D13=-72us  D14=-176us P=148.7deg  E=30.0deg
D12=12us   D13=-124us D14=-248us P=175.9deg  E=29.2deg
